40 25 65
40 26 61
60 25 65
80 25 65
80 26 61
80 99 116
100 25 65
100 26 61
120 17 43
120 26 61
120 49 71
120 99 116
140 25 65
140 26 61
160 21 65
160 26 61
160 49 71
180 13 27
180 21 65
180 26 61
180 71 96
180 102 121
200 21 65
200 26 61
200 102 121
220 16 69
220 21 65
220 26 61
220 102 121
240 21 65
240 23 56
240 26 61
240 102 121
260 16 69
260 21 65
260 26 61
260 56 78
260 102 121
280 16 69
280 21 65
280 22 56
280 23 56
280 26 61
280 45 117
300 0 17
300 16 69
300 17 29
300 26 61
300 45 117
320 16 69
320 17 110
320 17 84
320 26 61
320 45 117
340 17 110
340 26 61
340 45 117
340 50 124
360 16 69
360 17 84
360 17 110
360 26 61
360 45 117
360 50 124
360 65 79
380 17 110
380 17 84
380 26 61
380 45 117
380 65 79
400 17 110
400 17 84
400 26 61
400 45 117
400 65 79
420 17 110
420 17 84
420 19 125
420 26 61
420 45 117
420 65 79
420 88 125
420 111 125
440 17 84
440 26 61
440 45 117
460 4 113
460 17 84
460 26 61
460 45 117
460 104 125
460 104 110
460 111 125
480 17 84
480 26 61
480 45 117
480 48 111
480 104 125
480 111 125
500 17 84
500 26 61
500 45 117
500 104 125
520 17 84
520 26 61
520 45 117
520 66 121
520 69 125
520 104 125
540 26 61
540 45 117
540 69 125
540 93 107
540 104 125
560 8 66
560 26 61
560 45 117
560 66 121
560 69 125
560 104 125
580 18 121
580 22 27
580 26 61
580 69 125
580 75 81
580 82 107
580 93 107
580 104 125
600 18 107
600 18 82
600 26 61
600 69 125
600 82 107
600 93 107
600 99 107
600 104 125
620 18 82
620 18 107
620 26 61
620 27 29
620 69 125
620 82 107
620 93 107
620 99 107
620 104 125
640 23 111
640 26 61
640 27 29
640 32 93
640 69 125
640 82 107
640 93 107
640 99 107
640 104 125
660 26 61
660 27 29
660 32 90
660 69 125
660 99 107
660 104 125
680 26 61
680 27 29
680 32 93
680 69 125
680 91 93
680 104 125
680 107 121
700 26 61
700 27 29
700 69 125
700 86 105
700 104 125
700 107 125
720 26 61
720 27 29
720 32 109
720 32 75
720 69 125
720 91 93
720 104 125
740 9 93
740 26 61
740 27 29
740 32 75
740 63 93
740 69 125
740 104 125
760 9 32
760 26 61
760 32 75
760 69 125
760 75 79
760 84 109
760 104 125
780 8 37
780 26 61
780 27 29
780 32 75
780 69 125
780 75 79
780 104 125
800 69 125
800 75 79
800 84 109
800 104 125
820 22 27
820 26 61
820 69 125
820 104 125
840 22 27
840 69 125
840 74 78
840 91 102
840 104 125
860 22 27
860 69 125
860 74 78
860 104 125
880 26 119
880 69 125
880 74 78
880 91 102
880 104 125
900 22 27
900 69 125
900 104 125
920 69 125
920 81 96
920 101 102
920 104 125
940 69 125
940 86 90
940 104 125
960 69 125
960 81 106
960 104 125
980 47 106
980 104 125
1000 1 52
1000 47 106
1000 104 125
1020 1 36
1020 23 60
1020 36 48
1020 47 106
1020 104 125
1040 12 96
1040 23 60
1040 28 37
1040 36 48
1040 47 106
1040 104 125
1060 12 63
1060 23 60
1060 36 48
1060 47 106
1060 86 119
1060 104 125
1080 23 60
1080 36 48
1080 47 119
1080 50 68
1080 86 119
1080 104 125
1100 23 60
1100 36 48
1100 104 125
1120 23 60
1120 36 48
1120 104 125
1140 23 60
1140 36 48
1140 80 81
1160 23 60
1160 36 48
1160 64 122
1160 114 122
1180 22 109
1180 22 82
1180 22 39
1180 36 48
1180 64 122
1180 114 122
1200 22 109
1200 23 60
1200 36 48
1200 64 122
1200 114 122
1200 122 123
1220 7 109
1220 13 41
1220 36 48
1220 39 109
1220 64 122
1220 93 123
1220 114 122
1220 122 123
1240 13 41
1240 36 48
1240 64 122
1240 93 123
1240 95 108
1240 114 122
1240 122 123
1260 2 108
1260 13 41
1260 36 48
1260 64 122
1260 64 103
1260 93 123
1260 95 108
1260 114 122
1260 122 123
1280 2 108
1280 10 122
1280 13 41
1280 36 48
1280 64 122
1280 93 123
1280 95 108
1280 122 123
1300 2 108
1300 10 122
1300 13 41
